ecommerce-loki  | level=error ts=2026-03-13T16:31:45.255659321Z caller=client.go:157 msg="error getting key" key=collectors/scheduler err="Get \"http://localhost:8500/v1/kv/collectors/scheduler\": context canceled"
ecommerce-loki  | level=error ts=2026-03-13T16:31:45.475315115Z caller=client.go:157 msg="error getting key" key=collectors/scheduler err="Get \"http://localhost:8500/v1/kv/collectors/scheduler\": context canceled"
ecommerce-loki  | level=error ts=2026-03-13T16:31:45.475659459Z caller=loki.go:615 msg="module failed" module=query-scheduler-ring error="starting module query-scheduler-ring: context canceled"
ecommerce-loki  | level=info ts=2026-03-13T16:31:45.47584422Z caller=module_service.go:120 msg="module stopped" module=memberlist-kv
ecommerce-loki  | level=info ts=2026-03-13T16:31:45.476284562Z caller=modules.go:2369 msg="server stopped"
ecommerce-loki  | level=info ts=2026-03-13T16:31:45.476306919Z caller=module_service.go:120 msg="module stopped" module=server
ecommerce-loki  | level=info ts=2026-03-13T16:31:45.476381374Z caller=loki.go:599 msg="Loki stopped" running_time=2.219831863s
ecommerce-loki  | failed services
ecommerce-loki  | github.com/grafana/loki/v3/pkg/loki.(*Loki).Run
ecommerce-loki  | 	/src/loki/pkg/loki/loki.go:657
ecommerce-loki  | main.main
ecommerce-loki  | 	/src/loki/cmd/loki/main.go:136
ecommerce-loki  | runtime.main
ecommerce-loki  | 	/usr/local/go/src/runtime/proc.go:283
ecommerce-loki  | runtime.goexit
ecommerce-loki  | 	/usr/local/go/src/runtime/asm_amd64.s:1700
ecommerce-loki  | level=error ts=2026-03-13T16:31:45.476474959Z caller=log.go:223 msg="error running loki" err="failed services\ngithub.com/grafana/loki/v3/pkg/loki.(*Loki).Run\n\t/src/loki/pkg/loki/loki.go:657\nmain.main\n\t/src/loki/cmd/loki/main.go:136\nruntime.main\n\t/usr/local/go/src/runtime/proc.go:283\nruntime.goexit\n\t/usr/local/go/src/runtime/asm_amd64.s:1700"
ecommerce-loki  | level=info ts=2026-03-13T16:31:46.572789695Z caller=main.go:133 msg="Starting Loki" version="(version=3.6.7, branch=release-3.6.x, revision=7e1daf3a)"
ecommerce-loki  | level=info ts=2026-03-13T16:31:46.572868539Z caller=main.go:134 msg="Loading configuration file" filename=/etc/loki/local-config.yaml
ecommerce-loki  | level=info ts=2026-03-13T16:31:46.581317351Z caller=server.go:386 msg="server listening on addresses" http=[::]:3100 grpc=[::]:9095
ecommerce-loki  | level=info ts=2026-03-13T16:31:46.586756359Z caller=table_manager.go:136 index-store=boltdb-shipper-2024-01-01 msg="uploading tables"
ecommerce-loki  | level=info ts=2026-03-13T16:31:46.586729067Z caller=table_manager.go:300 index-store=boltdb-shipper-2024-01-01 msg="query readiness setup completed" duration=6.371µs distinct_users_len=0 distinct_users=
ecommerce-loki  | level=info ts=2026-03-13T16:31:46.586795317Z caller=shipper.go:165 index-store=boltdb-shipper-2024-01-01 msg="starting index shipper in RW mode"
ecommerce-loki  | level=info ts=2026-03-13T16:31:46.586935691Z caller=table_manager.go:256 index-store=boltdb-shipper-2024-01-01 msg="loading table index_20525"
ecommerce-loki  | level=info ts=2026-03-13T16:31:46.587385799Z caller=table.go:318 msg="handing over indexes to shipper index_20525"
ecommerce-loki  | level=info ts=2026-03-13T16:31:46.587421066Z caller=table.go:334 msg="finished handing over table index_20525"
ecommerce-loki  | level=info ts=2026-03-13T16:31:46.587478266Z caller=index_client.go:91 index-store=boltdb-shipper-2024-01-01 msg="starting boltdb shipper in RW mode"
ecommerce-loki  | level=info ts=2026-03-13T16:31:46.587549216Z caller=table_manager.go:187 index-store=boltdb-shipper-2024-01-01 msg="handing over indexes to shipper"
ecommerce-loki  | level=info ts=2026-03-13T16:31:46.587624794Z caller=table.go:318 msg="handing over indexes to shipper index_20525"
ecommerce-loki  | level=info ts=2026-03-13T16:31:46.587637735Z caller=table.go:334 msg="finished handing over table index_20525"
ecommerce-loki  | level=info ts=2026-03-13T16:31:46.593538591Z caller=worker.go:134 component=querier msg="Starting querier worker using query-scheduler and scheduler ring for addresses"
ecommerce-loki  | level=info ts=2026-03-13T16:31:46.599849684Z caller=mapper.go:47 msg="cleaning up mapped rules directory" path=/loki/rules-temp
ecommerce-loki  | level=info ts=2026-03-13T16:31:46.62994919Z caller=module_service.go:82 msg=starting module=server
ecommerce-loki  | level=info ts=2026-03-13T16:31:46.630011042Z caller=module_service.go:82 msg=starting module=cache-generation-loader
ecommerce-loki  | level=info ts=2026-03-13T16:31:46.630073989Z caller=module_service.go:82 msg=starting module=query-frontend-tripperware
ecommerce-loki  | level=info ts=2026-03-13T16:31:46.630072678Z caller=module_service.go:82 msg=starting module=memberlist-kv
ecommerce-loki  | level=info ts=2026-03-13T16:31:46.630120541Z caller=module_service.go:82 msg=starting module=ring
ecommerce-loki  | level=info ts=2026-03-13T16:31:46.630153912Z caller=module_service.go:82 msg=starting module=store
ecommerce-loki  | level=info ts=2026-03-13T16:31:46.630161798Z caller=module_service.go:82 msg=starting module=query-scheduler-ring
ecommerce-loki  | level=error ts=2026-03-13T16:31:46.631879328Z caller=client.go:157 msg="error getting key" key=collectors/scheduler err="Get \"http://localhost:8500/v1/kv/collectors/scheduler\": dial tcp [::1]:8500: connect: connection refused"
ecommerce-loki  | level=error ts=2026-03-13T16:31:46.632459557Z caller=loki.go:615 msg="module failed" module=ring error="starting module ring: invalid service state: Failed, expected: Running, failure: unable to initialise ring state: Get \"http://localhost:8500/v1/kv/collectors/ring?stale=\": dial tcp [::1]:8500: connect: connection refused"
ecommerce-loki  | level=error ts=2026-03-13T16:31:46.63255594Z caller=loki.go:615 msg="module failed" module=analytics error="failed to start analytics, because it depends on module ring, which has failed: invalid service state: Failed, expected: Running, failure: starting module ring: invalid service state: Failed, expected: Running, failure: unable to initialise ring state: Get \"http://localhost:8500/v1/kv/collectors/ring?stale=\": dial tcp [::1]:8500: connect: connection refused"
ecommerce-loki  | level=error ts=2026-03-13T16:31:46.632572774Z caller=loki.go:615 msg="module failed" module=rule-evaluator error="failed to start rule-evaluator, because it depends on module ring, which has failed: invalid service state: Failed, expected: Running, failure: starting module ring: invalid service state: Failed, expected: Running, failure: unable to initialise ring state: Get \"http://localhost:8500/v1/kv/collectors/ring?stale=\": dial tcp [::1]:8500: connect: connection refused"
ecommerce-loki  | level=error ts=2026-03-13T16:31:46.632581452Z caller=loki.go:615 msg="module failed" module=ingester-querier error="failed to start ingester-querier, because it depends on module ring, which has failed: invalid service state: Failed, expected: Running, failure: starting module ring: invalid service state: Failed, expected: Running, failure: unable to initialise ring state: Get \"http://localhost:8500/v1/kv/collectors/ring?stale=\": dial tcp [::1]:8500: connect: connection refused"
ecommerce-loki  | level=error ts=2026-03-13T16:31:46.632603365Z caller=loki.go:615 msg="module failed" module=ingester error="failed to start ingester, because it depends on module ring, which has failed: invalid service state: Failed, expected: Running, failure: starting module ring: invalid service state: Failed, expected: Running, failure: unable to initialise ring state: Get \"http://localhost:8500/v1/kv/collectors/ring?stale=\": dial tcp [::1]:8500: connect: connection refused"
ecommerce-loki  | level=error ts=2026-03-13T16:31:46.63261338Z caller=loki.go:615 msg="module failed" module=distributor error="failed to start distributor, because it depends on module analytics, which has failed: context canceled"
ecommerce-loki  | level=info ts=2026-03-13T16:31:46.632607294Z caller=module_service.go:120 msg="module stopped" module=query-frontend-tripperware
